HE Provider,No of publications,Academic Year (start),Business and Community Servicies (Income),Continous Profesional Development and Continous Education (income),Collaborative Research (income),Intelectual Property Rights (income),Total comprehensive income for the year,Total staff
University of Plymouth,1385,2021,6910,9441,4908,128,988372,
Birmingham City University,460,2018,2007,72934,291,299,987064,25760
The University of Dundee,1711,2017,21299,6830,6092,936,986536,25720
The University of Essex,1395,2018,19139,12951,4646,42,986380,22760
"City, University of London",1103,2020,4180,15016,2663,495,985832,30720
The University of Portsmouth,1305,2017,6484,59076,2145,67,982608,32200
De Montfort University,739,2018,4027,33825,808,10,981160,24320
"City, University of London",1110,2019,4265,21890,3383,489,979964,29400
London School of Hygiene and Tropical Medicine,3796,2020,15668,10760,62571,1,976832,13740
"City, University of London",1178,2018,4350,31817,2655,334,976320,27080
The University of Central Lancashire,936,2019,14775,83037,7956,28,975968,26840
Newcastle University,4602,2016,36612,21945,57003,1070,975758,48920
De Montfort University,970,2021,936,52052,1962,0,972080,26240
The University of Westminster,618,2021,1113,16895,891,0,972052,22000
London School of Hygiene and Tropical Medicine,3312,2019,13945,20699,62164,31,971592,13140
Liverpool School of Tropical Medicine,517,2018,27962,136109,19413,225,970696,4300
University of Plymouth,1333,2018,5867,3136,1597,238,965920,22520
"City, University of London",1214,2017,4461,38285,1521,397,964940,25760
Anglia Ruskin University,693,2019,2354,97331,1022,0,963376,14320
The University of Lincoln,1040,2022,7556,58555,8822,1,961496,20240
Heriot-Watt University,1857,2018,8725,9920,29153,130,960416,15600
University of Plymouth,1302,2020,5502,5973,4016,579,957748,
The University of Law,5,2021,0,10624,0,0,956972,
Ulster University,1265,2020,13342,19115,20356,271,956860,
Leeds Beckett University,691,2022,15961,43628,1255,0,954060,21360
Newcastle University,4090,2015,37044,20367,57599,557,952406,47640
Oxford Brookes University,828,2022,9706,6508,2164,6384,952120,21720
Brunel University London,1726,2019,4606,12090,9568,45,948336,19660
Liverpool John Moores University,1561,2019,2057,5118,2775,0,947152,23360
The University of Aberdeen,2323,2020,18222,211635,13669,250,943756,26240
Heriot-Watt University,1860,2020,11558,13502,11790,446,940276,18200
The University of Central Lancashire,879,2018,14599,95789,7050,30,939352,25600
De Montfort University,951,2020,2281,49539,1162,0,938516,25800
Brunel University London,1614,2020,4404,9606,8009,75,936176,19080
The University of Aberdeen,2123,2019,17706,185599,15389,1100,935084,27120
University of South Wales,514,2022,4122,29467,11220,24,932124,23440
Liverpool School of Tropical Medicine,504,2017,28384,26303,0,100,929588,3760
Leeds Beckett University,642,2020,14884,41326,705,0,928104,20680
London School of Hygiene and Tropical Medicine,2863,2017,11713,27990,62568,1,926620,10800
The University of Greenwich,783,2020,4650,6299,316,175,924076,14920
Birmingham City University,454,2017,1767,82680,391,247,923956,25240
Leeds Beckett University,689,2021,18020,33003,721,1,923616,21200
The University of Salford,827,2020,4887,23462,7321,24,923576,18480
Heriot-Watt University,1904,2019,10024,11856,10368,405,922760,16260
Brunel University London,1673,2018,4614,11453,8095,10,919012,18400
Kingston University,624,2022,1449,13773,2712,0,918020,15060
The University of Aberdeen,2191,2018,17496,114509,17073,2204,913976,25840
Heriot-Watt University,1876,2017,8327,6554,3766,136,913212,15520
Liverpool School of Tropical Medicine,602,2019,28208,94179,117677,0,912276,4440
University of Plymouth,1457,2019,5929,8217,2076,360,911972,22040
The University of Sunderland,281,2022,967,20722,0,0,908736,19120
The University of Central Lancashire,926,2017,20427,87121,6821,110,907552,22700
De Montfort University,669,2017,3438,24995,679,15,899368,23840
The University of Essex,1285,2017,18545,3598,3772,3,887652,22000
Liverpool John Moores University,1477,2018,2166,6508,2715,0,886232,23580
Aston University,1367,2022,5653,5829,11009,48,883836,16520
Brunel University London,1663,2017,4683,10772,7158,10,882928,17880
Cranfield University,1307,2022,18037,66482,2166,857,881144,14160
The University of Aberdeen,2401,2017,16005,44661,18565,1192,877884,25980
Kingston University,617,2021,945,26538,2571,0,877240,14760
University of South Wales,472,2021,4166,27646,14108,26,875736,21780
Leeds Beckett University,733,2017,16962,11059,704,4,874132,23660
Ulster University,1187,2018,11796,21105,19364,654,873272,20900
Anglia Ruskin University,694,2018,2890,142756,1401,0,866388,14960
Oxford Brookes University,849,2021,10533,6474,2191,5318,866232,21320
The University of Westminster,554,2019,1242,19208,2085,0,865508,21160
Leeds Beckett University,653,2018,16094,16130,830,0,863852,23120
The University of Westminster,606,2020,951,13394,1828,0,863208,21480
The University of Brighton,859,2017,7141,87274,2732,4,861156,26480
The University of Lincoln,1082,2021,7945,64748,8081,17,860724,18680
Queen Mary University of London,4431,2016,29553,5572,14441,490,860246,36620
The University of Greenwich,735,2019,8354,4840,354,227,859676,13640
Liverpool John Moores University,1437,2017,2586,4742,2757,0,858784,23140
Ulster University,1195,2019,10967,20496,21394,118,858476,
Leeds Beckett University,623,2019,14779,18473,700,0,856852,21720
The University of Salford,849,2019,4315,22914,6420,95,855212,18560
Middlesex University,807,2019,1435,83722,752,22,853864,14240
Middlesex University,859,2018,2099,79289,1815,364,848700,14860
The University of Lincoln,956,2020,10049,59965,6699,0,847184,19000
The University of Brighton,830,2018,6672,83092,2362,0,845812,26440
The University of Westminster,617,2018,1263,32122,2146,0,841284,19800
Teesside University,585,2022,5596,226280,6708,0,840644,16580
